Office ID,"Office Name",Web Address,Main,Fax,"Mail Address 1","Mail City",Mail State,Mail Zip Code
336,"Pettigrew Properties, llc",,8036372228,,"306 Penn Street","Edgefield",SC,29824
338,"Covenant Properties, Inc.",www.scforeclosures.com,8664159036,,"300 Candi Lane","Columbia",SC,29210
339,"Market Valuation Professionals, LLC",marketvaluationpro.com,8665856546,,"315 Laura Brodie Road","Leesville",SC,29070
340,"Re/Max Partners",sellingaugusta.net,7069227356,,"725 Industrial Park Road","Evans",GA,30809-4350
341,"Open Doors Real Estate Company LLC",,0,,"556 Powderhouse Road","Aiken",SC,29801
342,"Home Buyers Marketing II, Inc.",,8775327829,,"1201 Main Street","Columbia",SC,29201
343,"Jim Toler Realty",,0,,"PO Box 5453","Aiken",SC,29804
344,"Property Consultants of the South",www.finesouthernliving.com,0,,"1429 Lyon Drive, SE","Aiken",SC,29801
346,"Full Gallop Group Real Estate llc",,0,,"2913 Wagener Road","Aiken",SC,29801
347,"Re/Max True Advantage",www.augustaga-realestate.com,7063640897,,"1105 Furys Lane","Martinez",GA,30907
348,"Fine Property Management",aikenfineproperties.net,8036491701,,"205 Barnwell Avenue","Aiken",SC,29802
352,"Dianna Brentnell Realty LLC",www.brentnellrealty.com,0,,"619 McZilkey Drive","Appling",GA,30802
354,"Weichert, Realtors - Cornerstone",www.cornerstoneaugusta.com,7063644237,,"4434 Columbia Road,","Martinez",GA,30907
355,"Woodside Dev Limited Partnership",,8036433020,,"1419 Silver Bluff Road","Aiken",SC,29803
356,"Gold Ivy Realty",goldivyrealty.com,8032269575,,"21 Furman Drive","Aiken",SC,29803
357,"Reward Realty",,8036560751,,"560 Jefferson Davis Hwy.","Graniteville",SC,29841
358,"Aiken Pest Control",www.aikenpest.com,8036430525,,"P. O. Drawer U","Aiken",SC,29802
359,"Aiken Regional Medical Center",www.aikenregional.com,8036415979,,"302 University Parkway","Aiken",SC,29801
361,"The Aiken Standard",www.aikenstandard.com,8036491404,,"326 Rutland Drive NW","Aiken",SC,29803
362,"Bank of America",,0,,"167 Laurens Street SW","Aiken",SC,29801
365,"Hunter Mortgage",huntermortgage.com,8036444011,,"408 Silver Bluff Road","Aiken",SC,29803
366,"Security Federal",securityfederalbank.com,8036413026,,"1705 Whiskey Road","Aiken",SC,29803
368,"Suntrust Mortgage",,8036417627,,"6230 Woodside Executive Park","Aiken",SC,29803
369,"The Augusta Chronicle",www.augustachronicle.com,0,,"725 Broad Street","Augusta",GA,30901
370,"First Bank Mortgage",www.jamesgay.com,7068216062,,"2743 Perimeter Parkway","Augusta",GA,30909
372,"First Citizens Bank",www.firstcitizensonline.com,8036495337,8036426079,"708 Silver Bluff Road","Aiken",SC,29803
373,"Wells Fargo Home Mortgage",,7062108061,,"3730 Washington Road","Augusta",GA,30907
374,"Summit Realty",www.yoursummitrealty.com,0,,"387 Crown  Mill Drive","Martinez",GA,30907
376,"Peery Realty",www.peeryrealty.com,0,,"5161 Charnwood Forest Circle","Aiken",SC,29803
377,"AgSouth Mortgages",,8036488315,,"PO BOX 5489","Aiken",SC,29804
378,"Old Republic Home Protection Co.",www.myorhp.com/donbosse,0,,"PO Box 5017","San Ramon",CA,94885
379,"Robert B Purvis Appraisals",,0,,"111 Pendleton Street NW","Aiken",SC,29801
381,"Main Street Home Loans",,0,,"4010 Old Minton Parkway","Alpharetta",GA,30005
382,"Arrow Exterminators",www.arrowexterminators.com,7068633919,,"4092 Business Park Court","Evans",GA,30809
383,"Southern Bank and Trust",www.southernbanbandt.com,0,,"149 Laurens Street NW","Aiken",SC,29803
384,"South Point Construction",www.southpointconstruction.net,7065340020,,"39 Varden Drive","Aiken",SC,29803
385,"Aggressive Realty LLC",www.agrealty.net,0,,"126 Broadbent Way","Anderson",SC,29625
386,"Michael E. Reed",,0,,"113 Fiord Drive","North Augusta",SC,29841
387,"Butterbean Properties llc",,8032153540,0,"808 Woodward Street","Aiken",SC,29803
388,"Rite Rug",www.riterug.com,8645677136,0,"","",,
389,"Sandyhills Realty LLC",,8036419411,0,"1195 Sizemore Road","Aiken",SC,29803
390,"Brand Mortgage",www.brandmortage.com,8032269070,8558452432,"130-A Kings Grant Drive","Aiken",SC,29803
391,"Siders & Yarborough Allstate",agents.allstate.com/andrew-siders-aiken-sc.html,8036480767,8036480768,"556 Silver Bluff Road","Aiken",SC,29803
392,"Regions Mortgage",,8032798830,8032795431,"432 West Avenue","North Augusta",SC,29841
393,"CityStream, Inc.",www.southcarolinahomes.com,6178710545,0,"One Main St.","Cambridge",MA,02125
394,"Auben Realty, LLC",,7063051551,0,"1918 Central Avenue","Augusta",GA,30904
395,"Aiken Fine Homes and Land Ltd., Co.",,8034390778,0,"237 Laurens St. SW","AIken",SC,29801
396,"Al Arnold Properties LLC",,8032799873,0,"323 Peter Carnes","North Augusta",SC,29860
397,"Coleman Appraisal & Realty",,8036374066,0,"745 Newberry Hwy.","Saluda",SC,29138
398,"Elite Premier Properties",www.elitepremierproperties.com,8034129067,0,"705 Rocky Ridge Court","York",SC,29745
399,"Caniglia Realty Group",,8032159845,0,"52 Dottie Road","Aiken",SC,29801
