# Fireplaces,"AC/Ventilation","Address","Appliances",Apx Total Heated SqFt,Apx Year Built,"Attic",Basement,Bedroom 2 Length,Bedroom 2 Level,Bedroom 2 Width,Bedroom 3 Length,Bedroom 3 Level,Bedroom 3 Width,Bedroom 4 Length,Bedroom 4 Level,Bedroom 4 Width,Bedroom 5 Length,Bedroom 5 Level,Bedroom 5 Width,Bedrooms,Breakfast Rm Length,Breakfast Rm Level,Breakfast Rm Width,"Builder Name",City,County,Dining Rm Length,Dining Rm Level,Dining Rm Width,"Directions","Driveway",Elementary School,"Exterior Features","Exterior Finish","Extra Rooms",Family Rm Length,Family Rm Level,Family Rm Width,"Financing Type","Flooring","Foundation/Basement",Fuel Source,Full Baths,"Garage/Carport",Great Rm Length,Great Rm Level,Great Rm Width,Half Baths,"Heat Delivery",High School,"Interior Features",Kitchen Length,Kitchen Level,Kitchen Width,LA ID,List Price,Listing Office,Living Rm Length,Living Rm Level,Living Rm Width,"Lot Description",Lot Size,Middle School,MLS Number,"Neighborhood Amenities",New Construction,Owner Bedroom Length,Owner Bedroom Level,Owner Bedroom Width,Photo Count,Pool,"Property Description",Property Status,Property Type,"Roof","Sewer","Showing Instructions",State,"Street #","Style",Subdivision,Virtual Tour,"Water",Zip Code,Total # Rooms,"Total Acres",Latitude,Longitude,"Photo location"
1,"Forced Air","Goshen Lake Drive","Dishwasher,Vent Hood,Range-Electric,Hot Water-Gas",1732,1978,"Pull Down Stairs",S,10,M,12,13,M,12,0,-,0,0,-,0,3,0,-,0,"",Augusta,Richmond,14,M,12,"Take Mike Padgett South to Goshen Rd. Turn right. Turn left on Goshen Lake Dr. Home is on right.","Concrete",Goshen,"Parking Pad","Ranch","Living Room",0,-,0,"Cash,Conventional,FHA","Ceramic Tile,Vinyl,Carpet","Slab",,2,"Parking Pad",0,-,0,0,"Electric",Crosscreek,"Living Room",20,M,10,202-144,80000,202,20,M,12,"None",,Hephzibah,378172,"Golf Course,Street Lights",N,16,M,13,7,N,"Here is a wonderful opportunity to own a cute home with a nice layout in beautiful Augusta! This home sits on a lot directly behind a peaceful golf course. The backyard is privacy fenced and has a nice covered patio. The living room features a fireplace, and the spacious kitchen has plenty of cabinets. The large owner bedroom suite features a dual vanity bathroom and walk-in closet! This home is conveniently located to the Goshen Plantation Golf Course, major roads, and industrial areas.",Active,Residential,"Comp Shingle","Public","Call List Office,Lockbox Vacant",GA,"4422","Stone,Vinyl",Goshen Retreat,,"Public",30906,,"0.24",33.3360520,-81.9862320,"http://rets.usamls.net/getPhotoRETS.asp?id=8D555A838E66946E82829C8A70B2B990776F81598E556E8C656E778276797A7F807A479A8263616D74,http://rets.usamls.net/getPhotoRETS.asp?id=8D555A838E66946E82829C8B70B2B990776F81598E556E8C656E778276797A7F807A479A8263616D74,http://rets.usamls.net/getPhotoRETS.asp?id=8D555A838E66946E82829C8C70B2B990776F81598E556E8C656E778276797A7F807A479A8263616D74,http://rets.usamls.net/getPhotoRETS.asp?id=8D555A838E66946E82829C8D70B2B990776F81598E556E8C656E778276797A7F807A479A8263616D74,http://rets.usamls.net/getPhotoRETS.asp?id=8D555A838E66946E82829C8E70B2B990776F81598E556E8C656E778276797A7F807A479A8263616D74,http://rets.usamls.net/getPhotoRETS.asp?id=8D555A838E66946E82829C8F70B2B990776F81598E556E8C656E778276797A7F807A479A8263616D74,http://rets.usamls.net/getPhotoRETS.asp?id=8D555A838E66946E82829C9070B2B990776F81598E556E8C656E778276797A7F807A479A8263616D74"
1,"Forced Air","Stephens Mill Court","Dishwasher,Other-See Remarks",1305,2006,"Storage,Pull Down Stairs",S,11,M,12,10,M,12,0,N,0,0,N,0,3,0,N,0,"",North Augusta,Edgefield,0,N,0,"Take exit 5 towards Edgefield (US HWY 25), go past Murphey's Village, Stephens Mill subdivision will be on the left. Take the second right onto Stephens Mill Drive, then first left onto Stephens Mill Ct. House it strait ahead.","Concrete",Merriwether,"Garage Double Attached,Auto Door Opener","Ranch","Great Room",0,N,0,"Conventional,FHA,VA","Hardwood,Carpet","Slab",,2,"Garage Double Attached,Auto Door Opener",0,N,0,0,"Electric",Fox Creek,"Great Room",10,M,17,340-3,119900,340,15,M,15,"Cul-de-Sac",,Merriwether,379126,"Street Lights",N,14,M,14,14,N,"Beautiful home located on .62 acre lot. Kitchen features granite counter tops, stainless steel appliances, hardwood floors, and custom tile back splash. Great floor plan with hardwood floors in the main living areas. Large living room with fireplace and vaulted ceiling. Master bedroom features walk-in closet. In the backyard you will find a large deck perfect for entertaining.",Active,Residential,"Comp Shingle","Septic","Call List Office,Lockbox Vacant",SC,"23","Vinyl",Stephens Mill (Ed),www.myvisuallistings.com/vtnb/159633,"Public",29860,,"0.62",33.6138150,-81.9430970,"http://rets.usamls.net/getPhotoRETS.asp?id=8D555A838E66956E7D869C8A70B2B990776F81598E556E8C656E778276797A7F807B479A8263616D74,http://rets.usamls.net/getPhotoRETS.asp?id=8D555A838E66956E7D869C8B70B2B990776F81598E556E8C656E778276797A7F807B479A8263616D74,http://rets.usamls.net/getPhotoRETS.asp?id=8D555A838E66956E7D869C8C70B2B990776F81598E556E8C656E778276797A7F807B479A8263616D74,http://rets.usamls.net/getPhotoRETS.asp?id=8D555A838E66956E7D869C8B7276B399B864825A865D6B8E646B8B697582767A8A775B79768A4F717373,http://rets.usamls.net/getPhotoRETS.asp?id=8D555A838E66956E7D869C8D70B2B990776F81598E556E8C656E778276797A7F807B479A8263616D74,http://rets.usamls.net/getPhotoRETS.asp?id=8D555A838E66956E7D869C8E70B2B990776F81598E556E8C656E778276797A7F807B479A8263616D74,http://rets.usamls.net/getPhotoRETS.asp?id=8D555A838E66956E7D869C8F70B2B990776F81598E556E8C656E778276797A7F807B479A8263616D74,http://rets.usamls.net/getPhotoRETS.asp?id=8D555A838E66956E7D869C9070B2B990776F81598E556E8C656E778276797A7F807B479A8263616D74,http://rets.usamls.net/getPhotoRETS.asp?id=8D555A838E66956E7D869C9170B2B990776F81598E556E8C656E778276797A7F807B479A8263616D74,http://rets.usamls.net/getPhotoRETS.asp?id=8D555A838E66956E7D869C8B7576B399B864825A865D6B8E646B8B697582767A8A775B79768A4F717373,http://rets.usamls.net/getPhotoRETS.asp?id=8D555A838E66956E7D869C9270B2B990776F81598E556E8C656E778276797A7F807B479A8263616D74,http://rets.usamls.net/getPhotoRETS.asp?id=8D555A838E66956E7D869C9370B2B990776F81598E556E8C656E778276797A7F807B479A8263616D74,http://rets.usamls.net/getPhotoRETS.asp?id=8D555A838E66956E7D869C8B7376B399B864825A865D6B8E646B8B697582767A8A775B79768A4F717373,http://rets.usamls.net/getPhotoRETS.asp?id=8D555A838E66956E7D869C8B7476B399B864825A865D6B8E646B8B697582767A8A775B79768A4F717373"
1,"Forced Air","Dry Creek Road","Dishwasher,Microwave Built-in,Vent Hood Microwave,Range-Electric,Hot Water-Gas",1573,1978,"Scuttle",S,10,M,11,10,M,11,0,-,0,0,-,0,3,9,M,10,"",Evans,Columbia,11,M,11,"North Belair Road-- To Evanston Drive.  Left onto Dry Creek Road.","Concrete",Evans,"Parking Pad","Ranch","Brick,Great Room,Masonry",0,-,0,"Cash,Conventional,FHA,VA","Ceramic Tile,Laminate,Carpet","Slab",,2,"Parking Pad",15,M,15,0,"Natural Gas",Evans,"Brick,Great Room,Masonry",11,M,11,47-3,108900,47,0,-,0,"Other-See Remarks",,Evans,379139,"Street Lights",N,11,M,14,23,N,"Look no further!  This brick ranch style home has been completely updated and is ready for new owner.  Kitchen has tiled flooring; new appliances; and eat-in breakfast area.  Laundry room off kitchen with built-ins.  Formal dining area, spacious great room with masonry fireplace.  Added feature includes 12x15 heated sun room.  Ceiling fans in all bedrooms.  Updated baths.  Large master suite with walk-in closet.  Rocking chair front porch overlooking lushly landscaped front yard.  Rear yard is fenced, flat and perfect for children, dogs and gardening.  Perfect in every way!  Newly listed and affordably priced.  Evans School district.",Active,Residential,"Comp Shingle","Public","Call List Office,Lockbox Occupied",GA,"234","Brick",Evanston,www.visualtour.com/shownp.asp?sk=13&t=3453342,"Public",30809,,"0",33.5217420,-82.1452310,"http://rets.usamls.net/getPhotoRETS.asp?id=8D555A838E66956E7E899C8A70B2B990776F81598E556E8C656E778276797A7F807B479A8263616D74,http://rets.usamls.net/getPhotoRETS.asp?id=8D555A838E66956E7E899C8B70B2B990776F81598E556E8C656E778276797A7F807B479A8263616D74,http://rets.usamls.net/getPhotoRETS.asp?id=8D555A838E66956E7E899C8C70B2B990776F81598E556E8C656E778276797A7F807B479A8263616D74,http://rets.usamls.net/getPhotoRETS.asp?id=8D555A838E66956E7E899C8D70B2B990776F81598E556E8C656E778276797A7F807B479A8263616D74,http://rets.usamls.net/getPhotoRETS.asp?id=8D555A838E66956E7E899C8E70B2B990776F81598E556E8C656E778276797A7F807B479A8263616D74,http://rets.usamls.net/getPhotoRETS.asp?id=8D555A838E66956E7E899C8F70B2B990776F81598E556E8C656E778276797A7F807B479A8263616D74,http://rets.usamls.net/getPhotoRETS.asp?id=8D555A838E66956E7E899C9070B2B990776F81598E556E8C656E778276797A7F807B479A8263616D74,http://rets.usamls.net/getPhotoRETS.asp?id=8D555A838E66956E7E899C9170B2B990776F81598E556E8C656E778276797A7F807B479A8263616D74,http://rets.usamls.net/getPhotoRETS.asp?id=8D555A838E66956E7E899C9270B2B990776F81598E556E8C656E778276797A7F807B479A8263616D74,http://rets.usamls.net/getPhotoRETS.asp?id=8D555A838E66956E7E899C9370B2B990776F81598E556E8C656E778276797A7F807B479A8263616D74,http://rets.usamls.net/getPhotoRETS.asp?id=8D555A838E66956E7E899C8B7276B399B864825A865D6B8E646B8B697582767A8A775B79768A4F717373,http://rets.usamls.net/getPhotoRETS.asp?id=8D555A838E66956E7E899C8B7376B399B864825A865D6B8E646B8B697582767A8A775B79768A4F717373,http://rets.usamls.net/getPhotoRETS.asp?id=8D555A838E66956E7E899C8B7476B399B864825A865D6B8E646B8B697582767A8A775B79768A4F717373,http://rets.usamls.net/getPhotoRETS.asp?id=8D555A838E66956E7E899C8B7576B399B864825A865D6B8E646B8B697582767A8A775B79768A4F717373,http://rets.usamls.net/getPhotoRETS.asp?id=8D555A838E66956E7E899C8B7676B399B864825A865D6B8E646B8B697582767A8A775B79768A4F717373,http://rets.usamls.net/getPhotoRETS.asp?id=8D555A838E66956E7E899C8B7776B399B864825A865D6B8E646B8B697582767A8A775B79768A4F717373,http://rets.usamls.net/getPhotoRETS.asp?id=8D555A838E66956E7E899C8B7876B399B864825A865D6B8E646B8B697582767A8A775B79768A4F717373,http://rets.usamls.net/getPhotoRETS.asp?id=8D555A838E66956E7E899C8B7976B399B864825A865D6B8E646B8B697582767A8A775B79768A4F717373,http://rets.usamls.net/getPhotoRETS.asp?id=8D555A838E66956E7E899C8B7A76B399B864825A865D6B8E646B8B697582767A8A775B79768A4F717373,http://rets.usamls.net/getPhotoRETS.asp?id=8D555A838E66956E7E899C8B7B76B399B864825A865D6B8E646B8B697582767A8A775B79768A4F717373,http://rets.usamls.net/getPhotoRETS.asp?id=8D555A838E66956E7E899C8C7276B399B864825A865D6B8E646B8B697582767A8A775B79768A4F717373,http://rets.usamls.net/getPhotoRETS.asp?id=8D555A838E66956E7E899C8C7376B399B864825A865D6B8E646B8B697582767A8A775B79768A4F717373,http://rets.usamls.net/getPhotoRETS.asp?id=8D555A838E66956E7E899C8C7476B399B864825A865D6B8E646B8B697582767A8A775B79768A4F717373"
